ConductanceBubbleGraph 
t space sac/bip/ica g 
473 17.5 sac 1.48358
474 17.5 sac 2.43432
475 17.5 sac 4.46739
476 17.5 sac 5.69298
477 17.5 sac 6.33207
478 17.5 sac 6.57418
479 17.5 sac 6.55273
480 17.5 sac 6.36124
481 17.5 sac 6.06488
482 17.5 sac 5.70864
483 17.5 sac 5.32331
484 17.5 sac 4.92959
485 17.5 sac 4.5411
486 17.5 sac 4.16653
487 17.5 sac 3.81112
488 17.5 sac 3.47776
489 17.5 sac 3.16769
490 17.5 sac 2.88111
491 17.5 sac 2.61751
492 17.5 sac 2.37592
493 17.5 sac 2.15513
494 17.5 sac 1.95379
495 17.5 sac 1.7705
496 17.5 sac 1.60385
497 17.5 sac 1.45251
498 17.5 sac 1.31516
499 17.5 sac 1.19061
500 17.5 sac 1.07771
501 17.5 sac 0.975412
502 17.5 sac 0.882753
503 17.5 sac 0.798845
504 17.5 sac 0.722874
505 17.5 sac 0.654102
506 17.5 sac 0.591854
507 17.5 sac 0.535516
508 17.5 sac 0.484531
509 17.5 sac 0.438393
510 17.5 sac 0.396644
511 17.5 sac 0.358867
512 17.5 sac 0.324685
513 17.5 sac 0.293757
514 17.5 sac 0.265774
515 17.5 sac 0.240456
516 17.5 sac 0.217549
517 17.5 sac 0.196823
518 17.5 sac 0.178072
519 17.5 sac 0.161107
520 17.5 sac 0.145758
521 17.5 sac 0.131871
522 17.5 sac 0.119308
523 17.5 sac 0.107941
524 17.5 sac 0.0976568
525 17.5 sac 0.0883526
526 17.5 sac 0.0799348
527 17.5 sac 0.072319
528 17.5 sac 0.0654288
529 17.5 sac 0.059195
530 17.5 sac 0.0535552
531 17.5 sac 0.0484527
532 17.5 sac 0.0438363
533 17.5 sac 0.0396598
534 17.5 sac 0.0358812
535 17.5 sac 0.0324626
536 17.5 sac 0.0293697
537 17.5 sac 0.0265715
538 17.5 sac 0.0240398
539 17.5 sac 0.0217494
540 17.5 sac 0.0196772
541 17.5 sac 0.0178025
542 17.5 sac 0.0161063
543 17.5 sac 0.0145718
544 17.5 sac 0.0131834
545 17.5 sac 0.0119274
546 17.5 sac 0.010791
547 17.5 sac 0.00976286
548 17.5 sac 0.0088327
549 17.5 sac 0.00799116
550 17.5 sac 0.00722979
551 17.5 sac 0.00654097
552 17.5 sac 0.00591777
553 17.5 sac 0.00535395
554 17.5 sac 0.00484385
555 17.5 sac 0.00438235
556 17.5 sac 0.00396481
557 17.5 sac 0.00358706
558 17.5 sac 0.0032453
559 17.5 sac 0.0029361
560 17.5 sac 0.00265636
561 17.5 sac 0.00240328
562 17.5 sac 0.0021743
563 17.5 sac 0.00196714
564 17.5 sac 0.00177972
565 17.5 sac 0.00161016
566 17.5 sac 0.00145675
567 17.5 sac 0.00131796
568 17.5 sac 0.00119239
569 17.5 sac 0.00107878
570 17.5 sac 0.000975999
571 17.5 sac 0.00088301
572 17.5 sac 0.00079888
573 17.5 sac 0.000722766
574 17.5 sac 0.000653904
575 17.5 sac 0.000591603
576 17.5 sac 0.000535237
577 17.5 sac 0.000484242
578 17.5 sac 0.000438105
579 17.5 sac 0.000396365
580 17.5 sac 0.000358601
581 17.5 sac 0.000324435
582 17.5 sac 0.000293524
583 17.5 sac 0.000265558
584 17.5 sac 0.000240257
585 17.5 sac 0.000217366
586 17.5 sac 0.000196656
587 17.5 sac 0.00017792
588 17.5 sac 0.000160968
589 17.5 sac 0.000145632
590 17.5 sac 0.000131757
591 17.5 sac 0.000119203
592 17.5 sac 0.000107846
593 17.5 sac 9.75711e-05
594 17.5 sac 8.82749e-05
595 17.5 sac 7.98645e-05
596 17.5 sac 7.22553e-05
597 17.5 sac 6.53711e-05
598 17.5 sac 5.91428e-05
599 17.5 sac 5.3508e-05
600 17.5 sac 4.84099e-05
