V_null CAI_null ICA_null IK_null V_preferrec CAI_preferred ICA_preferred IK_preferred
-65 0.0001 -4.53267e-05 0 -65 0.0001 -4.53267e-05 0
-62.2287 0.000498515 -7.0785e-05 0 -62.2287 0.000498515 -7.0785e-05 0
-60.9576 0.00122336 -9.79291e-05 0 -60.9576 0.00122336 -9.79291e-05 0
-60.3705 0.00206692 -0.000113576 0 -60.3705 0.00206692 -0.000113576 0
-60.099 0.00292663 -0.000120728 0 -60.099 0.00292663 -0.000120728 0
-59.9738 0.00374427 -0.000123271 0 -59.9738 0.00374427 -0.000123271 0
-59.9166 0.00449539 -0.000123671 0 -59.9166 0.00449539 -0.000123671 0
-59.8908 0.00517381 -0.000123193 0 -59.8908 0.00517381 -0.000123193 0
-59.8796 0.00578172 -0.000122421 0 -59.8796 0.00578172 -0.000122421 0
-59.8749 0.00632454 -0.000121607 0 -59.8749 0.00632454 -0.000121607 0
-59.8733 0.00680861 -0.000120846 0 -59.8733 0.00680861 -0.000120846 0
-59.8729 0.00724018 -0.000120168 0 -59.8729 0.00724018 -0.000120168 0
-59.8732 0.00762501 -0.000119577 0 -59.8732 0.00762501 -0.000119577 0
-59.8736 0.0079683 -0.000119065 0 -59.8736 0.0079683 -0.000119065 0
-59.874 0.00827466 -0.000118623 0 -59.874 0.00827466 -0.000118623 0
-59.8745 0.00854818 -0.00011824 0 -59.8745 0.00854818 -0.00011824 0
-59.8749 0.00879248 -0.000117907 0 -59.8749 0.00879248 -0.000117907 0
-59.8752 0.00901074 -0.000117617 0 -59.8752 0.00901074 -0.000117617 0
-59.8755 0.0092058 -0.000117363 0 -59.8755 0.0092058 -0.000117363 0
-59.8758 0.00938018 -0.000117141 0 -59.8758 0.00938018 -0.000117141 0
-59.876 0.0095361 -0.000116947 0 -59.876 0.0095361 -0.000116947 0
-59.8763 0.00967554 -0.000116775 0 -59.8763 0.00967554 -0.000116775 0
-59.8765 0.00980027 -0.000116624 0 -59.8765 0.00980027 -0.000116624 0
-59.8766 0.00991185 -0.00011649 0 -59.8766 0.00991185 -0.00011649 0
-59.8768 0.0100117 -0.000116371 0 -59.8768 0.0100117 -0.000116371 0
-59.8769 0.010101 -0.000116266 0 -59.8769 0.010101 -0.000116266 0
-59.877 0.010181 -0.000116173 0 -59.877 0.010181 -0.000116173 0
-59.8771 0.0102525 -0.000116091 0 -59.8771 0.0102525 -0.000116091 0
-59.8772 0.0103166 -0.000116017 0 -59.8772 0.0103166 -0.000116017 0
-59.8773 0.0103739 -0.000115952 0 -59.8773 0.0103739 -0.000115952 0
-59.8774 0.0104252 -0.000115894 0 -59.8774 0.0104252 -0.000115894 0
-59.8774 0.0104711 -0.000115842 0 -59.8774 0.0104711 -0.000115842 0
-59.8775 0.0105123 -0.000115795 0 -59.8775 0.0105123 -0.000115795 0
-59.8775 0.0105491 -0.000115754 0 -59.8775 0.0105491 -0.000115754 0
-59.8776 0.0105821 -0.000115717 0 -59.8776 0.0105821 -0.000115717 0
-59.8776 0.0106116 -0.000115684 0 -59.8776 0.0106116 -0.000115684 0
-59.8776 0.010638 -0.000115655 0 -59.8776 0.010638 -0.000115655 0
-59.8777 0.0106617 -0.000115629 0 -59.8777 0.0106617 -0.000115629 0
-59.8777 0.0106829 -0.000115605 0 -59.8777 0.0106829 -0.000115605 0
-59.8777 0.0107019 -0.000115585 0 -59.8777 0.0107019 -0.000115585 0
-59.8778 0.0107188 -0.000115566 0 -59.8778 0.0107188 -0.000115566 0
-59.8778 0.0107341 -0.000115549 0 -59.8778 0.0107341 -0.000115549 0
-59.8778 0.0107477 -0.000115534 0 -59.8778 0.0107477 -0.000115534 0
-59.8778 0.0107599 -0.000115521 0 -59.8778 0.0107599 -0.000115521 0
-59.8778 0.0107708 -0.000115509 0 -59.8778 0.0107708 -0.000115509 0
-59.8778 0.0107806 -0.000115498 0 -59.8778 0.0107806 -0.000115498 0
-59.8778 0.0107894 -0.000115488 0 -59.8778 0.0107894 -0.000115488 0
-59.8779 0.0107972 -0.00011548 0 -59.8779 0.0107972 -0.00011548 0
-59.8779 0.0108042 -0.000115472 0 -59.8779 0.0108042 -0.000115472 0
-59.8779 0.0108105 -0.000115465 0 -59.8779 0.0108105 -0.000115465 0
-59.8779 0.0108162 -0.000115459 0 -59.8779 0.0108162 -0.000115459 0
-59.8779 0.0108212 -0.000115454 0 -59.8779 0.0108212 -0.000115454 0
-59.8779 0.0108258 -0.000115449 0 -59.8779 0.0108258 -0.000115449 0
-59.8779 0.0108298 -0.000115444 0 -59.8779 0.0108298 -0.000115444 0
-59.8779 0.0108334 -0.00011544 0 -59.8779 0.0108334 -0.00011544 0
-59.8779 0.0108367 -0.000115437 0 -59.8779 0.0108367 -0.000115437 0
-59.8779 0.0108396 -0.000115434 0 -59.8779 0.0108396 -0.000115434 0
-59.8779 0.0108422 -0.000115431 0 -59.8779 0.0108422 -0.000115431 0
-59.8779 0.0108445 -0.000115428 0 -59.8779 0.0108445 -0.000115428 0
-59.8779 0.0108466 -0.000115426 0 -59.8779 0.0108466 -0.000115426 0
-59.8779 0.0108485 -0.000115424 0 -59.8779 0.0108485 -0.000115424 0
-59.8779 0.0108502 -0.000115422 0 -59.8779 0.0108502 -0.000115422 0
-59.8779 0.0108517 -0.000115421 0 -59.8779 0.0108517 -0.000115421 0
-59.8779 0.010853 -0.000115419 0 -59.8779 0.010853 -0.000115419 0
-59.8779 0.0108542 -0.000115418 0 -59.8779 0.0108542 -0.000115418 0
-59.8779 0.0108553 -0.000115417 0 -59.8779 0.0108553 -0.000115417 0
-59.8779 0.0108563 -0.000115416 0 -59.8779 0.0108563 -0.000115416 0
-59.8779 0.0108571 -0.000115415 0 -59.8779 0.0108571 -0.000115415 0
-59.8779 0.0108579 -0.000115414 0 -59.8779 0.0108579 -0.000115414 0
-59.8779 0.0108586 -0.000115413 0 -59.8779 0.0108586 -0.000115413 0
-59.8779 0.0108592 -0.000115412 0 -59.8779 0.0108592 -0.000115412 0
-59.8779 0.0108598 -0.000115412 0 -59.8779 0.0108598 -0.000115412 0
-59.8779 0.0108603 -0.000115411 0 -59.8779 0.0108603 -0.000115411 0
-59.8779 0.0108607 -0.000115411 0 -59.8779 0.0108607 -0.000115411 0
-59.8779 0.0108611 -0.00011541 0 -59.8779 0.0108611 -0.00011541 0
-59.8779 0.0108615 -0.00011541 0 -59.8779 0.0108615 -0.00011541 0
-59.8779 0.0108618 -0.00011541 0 -59.8779 0.0108618 -0.00011541 0
-59.8779 0.0108621 -0.000115409 0 -59.8779 0.0108621 -0.000115409 0
-59.8779 0.0108623 -0.000115409 0 -59.8779 0.0108623 -0.000115409 0
-59.8779 0.0108626 -0.000115409 0 -59.8779 0.0108626 -0.000115409 0
-59.8779 0.0108628 -0.000115409 0 -59.8779 0.0108628 -0.000115409 0
-59.8779 0.010863 -0.000115408 0 -59.8779 0.010863 -0.000115408 0
-59.8779 0.0108631 -0.000115408 0 -59.8779 0.0108631 -0.000115408 0
-59.8779 0.0108633 -0.000115408 0 -59.8779 0.0108633 -0.000115408 0
-59.8779 0.0108634 -0.000115408 0 -59.8779 0.0108634 -0.000115408 0
-59.8779 0.0108635 -0.000115408 0 -59.8779 0.0108635 -0.000115408 0
-59.8779 0.0108636 -0.000115408 0 -59.8779 0.0108636 -0.000115408 0
-59.8779 0.0108637 -0.000115407 0 -59.8779 0.0108637 -0.000115407 0
-59.8779 0.0108638 -0.000115407 0 -59.8779 0.0108638 -0.000115407 0
-59.8779 0.0108639 -0.000115407 0 -59.8779 0.0108639 -0.000115407 0
-59.8779 0.010864 -0.000115407 0 -59.8779 0.010864 -0.000115407 0
-59.8779 0.010864 -0.000115407 0 -59.8779 0.010864 -0.000115407 0
-59.8779 0.0108641 -0.000115407 0 -59.8779 0.0108641 -0.000115407 0
-59.8779 0.0108641 -0.000115407 0 -59.8779 0.0108641 -0.000115407 0
-59.8779 0.0108642 -0.000115407 0 -59.8779 0.0108642 -0.000115407 0
-59.8779 0.0108642 -0.000115407 0 -59.8779 0.0108642 -0.000115407 0
-59.8779 0.0108642 -0.000115407 0 -59.8779 0.0108642 -0.000115407 0
-59.8779 0.0108643 -0.000115407 0 -59.8779 0.0108643 -0.000115407 0
-59.8779 0.0108643 -0.000115407 0 -59.8779 0.0108643 -0.000115407 0
-59.8779 0.0108643 -0.000115407 0 -59.8779 0.0108643 -0.000115407 0
-59.8779 0.0108643 -0.000115407 0 -59.8779 0.0108643 -0.000115407 0
-59.8779 0.0108644 -0.000115407 0 -59.8779 0.0108644 -0.000115407 0
-59.8779 0.0108644 -0.000115407 0 -59.8779 0.0108644 -0.000115407 0
-59.8779 0.0108644 -0.000115407 0 -59.8779 0.0108644 -0.000115407 0
-59.8779 0.0108644 -0.000115407 0 -59.8779 0.0108644 -0.000115407 0
-59.8779 0.0108644 -0.000115407 0 -59.8779 0.0108644 -0.000115407 0
-59.8779 0.0108644 -0.000115407 0 -59.8779 0.0108644 -0.000115407 0
-59.8779 0.0108644 -0.000115407 0 -59.8779 0.0108644 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
-59.8779 0.0108645 -0.000115407 0 -59.8779 0.0108645 -0.000115407 0
