Maximum_Calcium_Concentration_Across_Angles 
Angle Max_V Max_CAi 
-0.417266 -26.7306 1.58268
-0.342462 -26.7461 1.58101
-0.155466 -26.7306 1.58268
-0.0806622 -26.7461 1.58101
0.106333 -26.7306 1.58268
0.181137 -26.7461 1.58101
0.368132 -26.7306 1.58268
0.442937 -26.7461 1.58101
0.629932 -34.3701 0.913703
0.704736 -34.3975 0.910849
0.891731 -34.3701 0.913704
0.966535 -34.3975 0.910849
1.15353 -38.0796 0.625581
1.22833 -38.1106 0.622934
1.41533 -38.0796 0.625581
1.49013 -38.1106 0.622934
1.67713 -42.9836 0.283864
1.75193 -43.0139 0.282433
1.93893 -42.9836 0.283864
2.01373 -43.0139 0.282433
2.20073 -43.3768 0.263216
2.27553 -43.4068 0.261888
2.46253 -43.3768 0.263216
2.53733 -43.4068 0.261888
2.72433 -43.8722 0.249297
2.79913 -43.9018 0.248036
2.98613 -43.8722 0.249297
3.06093 -43.9018 0.248036
-3.03526 -43.8722 0.249297
-2.96046 -43.9018 0.248036
-2.77346 -43.8722 0.249297
-2.69866 -43.9018 0.248036
-2.51166 -43.5874 0.255597
-2.43686 -43.6172 0.254306
-2.24986 -43.5874 0.255597
-2.17506 -43.6172 0.254306
-1.98806 -43.1655 0.280104
-1.91326 -43.1956 0.27869
-1.72626 -43.1655 0.280104
-1.65146 -43.1956 0.27869
-1.46446 -38.7427 0.573542
-1.38966 -38.774 0.571013
-1.20266 -38.7427 0.573542
-1.12786 -38.774 0.571013
-0.940865 -35.3418 0.793984
-0.86606 -35.3704 0.791189
-0.679065 -35.3418 0.793984
-0.604261 -35.3704 0.791189
-0.417266 -26.7306 1.58268
-0.342462 -26.7461 1.58101
